dungeon_id,floor_id,stage,spawn_type,monster_id,monster_level,row_count
60,1,0,0,253,10,146
60,1,0,0,256,10,120
60,1,0,0,259,10,134
60,1,1,0,254,10,68
60,1,1,0,257,10,65
60,1,1,0,260,10,67
60,1,2,0,253,10,38
60,1,2,0,254,10,42
60,1,2,0,256,10,53
60,1,2,0,257,10,51
60,1,2,0,259,10,51
60,1,2,0,260,10,23
60,1,3,0,178,10,44
60,1,3,0,181,10,22
60,1,3,0,254,10,32
60,1,3,0,257,10,53
60,1,3,0,260,10,49
60,1,4,0,253,10,100
60,1,4,0,256,10,100
60,1,4,0,682,1,100
104,2,0,1,152,20,1580
104,2,0,1,227,15,395
104,2,0,2,3971,5,3
104,2,1,0,153,15,1588
104,2,1,2,3971,5,1
104,2,2,1,154,18,398
104,2,2,1,227,13,398
104,2,2,1,797,5,398
104,2,3,1,1085,5,398
104,2,3,1,1086,5,398
104,2,3,1,1087,5,398
110,1,0,0,36,1,16
110,1,0,0,38,1,3
110,1,0,0,40,1,8
110,1,0,0,42,1,9
110,1,0,0,44,1,8
110,1,1,0,36,1,8
110,1,1,0,38,1,9
110,1,1,0,40,1,16
110,1,1,0,42,1,9
110,1,1,0,44,1,24
110,1,2,0,36,1,22
110,1,2,0,38,1,12
110,1,2,0,40,1,11
110,1,2,0,42,1,25
110,1,2,0,44,1,18
110,1,3,0,36,1,22
110,1,3,0,38,1,21
110,1,3,0,40,1,25
110,1,3,0,42,1,25
110,1,3,0,44,1,17
110,1,4,1,82,1,22
110,1,5,0,42,4,17
110,1,5,0,44,4,4
110,1,5,0,46,4,7
110,1,5,0,48,4,2
110,1,5,0,50,4,1
110,1,5,0,54,4,7
110,1,5,0,56,4,4
110,1,5,0,60,4,2
110,1,6,0,40,4,6
110,1,6,0,50,4,10
110,1,6,0,52,4,5
110,1,6,0,54,4,11
110,1,6,0,56,4,4
110,1,6,0,58,4,7
110,1,6,0,60,4,23
110,1,7,0,42,4,10
110,1,7,0,44,4,2
110,1,7,0,46,4,8
110,1,7,0,48,4,8
110,1,7,0,50,4,19
110,1,7,0,52,4,14
110,1,7,0,54,4,10
110,1,7,0,56,4,8
110,1,7,0,58,4,6
110,1,7,0,60,4,3
110,1,8,0,40,4,6
110,1,8,0,50,4,9
110,1,8,0,52,4,22
110,1,8,0,54,4,24
110,1,8,0,56,4,7
110,1,8,0,58,4,15
110,1,8,0,60,4,27
110,1,9,1,106,4,22
110,1,10,0,54,6,6
110,1,10,0,60,6,3
110,1,10,0,64,6,4
110,1,10,0,66,6,8
110,1,10,0,72,6,14
110,1,10,0,74,6,2
110,1,10,0,76,6,7
110,1,11,0,38,6,6
110,1,11,0,40,6,5
110,1,11,0,54,6,5
110,1,11,0,58,6,5
110,1,11,0,60,6,6
110,1,11,0,62,6,4
110,1,11,0,72,6,14
110,1,11,0,74,6,13
110,1,11,0,154,1,8
110,1,12,0,38,6,13
110,1,12,0,54,6,13
110,1,12,0,60,6,18
110,1,12,0,64,6,12
110,1,12,0,66,6,8
110,1,12,0,70,6,7
110,1,12,0,74,6,12
110,1,13,0,40,6,24
110,1,13,0,54,6,11
110,1,13,0,58,6,15
110,1,13,0,60,6,12
110,1,13,0,62,6,6
110,1,13,0,72,6,6
110,1,13,0,74,6,17
110,1,13,0,76,6,8
110,1,13,0,154,1,4
110,1,14,1,107,6,22
110,1,15,0,68,10,2
110,1,15,0,70,10,5
110,1,15,0,72,10,7
110,1,15,0,74,10,9
110,1,15,0,76,10,9
110,1,15,0,78,10,6
110,1,15,0,80,10,3
110,1,15,0,82,10,3
110,1,16,0,68,10,9
110,1,16,0,70,10,25
110,1,16,0,72,10,3
110,1,16,0,74,10,1
110,1,16,0,76,10,6
110,1,16,0,78,10,7
110,1,16,0,80,10,8
110,1,16,0,82,10,7
110,1,17,0,68,10,12
110,1,17,0,70,10,3
110,1,17,0,72,10,15
110,1,17,0,74,10,16
110,1,17,0,76,10,11
110,1,17,0,78,10,3
110,1,17,0,80,10,9
110,1,17,0,82,10,8
110,1,18,0,68,10,8
110,1,18,0,70,10,15
110,1,18,0,72,10,13
110,1,18,0,74,10,5
110,1,18,0,76,10,8
110,1,18,0,78,10,7
110,1,18,0,80,10,14
110,1,18,0,82,10,7
110,1,19,0,150,1,22
110,1,20,0,47,4,1
110,1,20,0,49,4,1
110,1,20,0,51,4,4
110,1,20,0,53,4,5
110,1,20,0,55,4,3
110,1,20,0,57,4,7
110,1,20,0,61,4,3
110,1,20,0,62,10,1
110,1,20,0,64,10,1
110,1,20,0,66,10,1
110,1,20,0,68,10,5
110,1,20,0,70,10,2
110,1,20,0,74,10,2
110,1,20,0,76,10,3
110,1,20,0,110,4,5
110,1,21,0,47,4,2
110,1,21,0,49,4,11
110,1,21,0,51,4,6
110,1,21,0,53,4,5
110,1,21,0,55,4,1
110,1,21,0,57,4,7
110,1,21,0,59,4,4
110,1,21,0,61,4,3
110,1,21,0,62,10,2
110,1,21,0,64,10,1
110,1,21,0,66,10,1
110,1,21,0,68,10,3
110,1,21,0,70,10,4
110,1,21,0,72,10,5
110,1,21,0,74,10,4
110,1,21,0,76,10,1
110,1,21,0,110,4,6
110,1,22,0,47,4,9
110,1,22,0,49,4,13
110,1,22,0,51,4,4
110,1,22,0,53,4,7
110,1,22,0,55,4,3
110,1,22,0,57,4,2
110,1,22,0,59,4,5
110,1,22,0,61,4,3
110,1,22,0,62,10,6
110,1,22,0,64,10,3
110,1,22,0,66,10,2
110,1,22,0,68,10,1
110,1,22,0,70,10,5
110,1,22,0,72,10,2
110,1,22,0,74,10,8
110,1,22,0,76,10,5
110,1,22,0,110,4,4
110,1,23,0,47,4,1
110,1,23,0,51,4,3
110,1,23,0,53,4,5
110,1,23,0,55,4,10
110,1,23,0,57,4,15
110,1,23,0,59,4,5
110,1,23,0,61,4,2
110,1,23,0,62,10,3
110,1,23,0,64,10,2
110,1,23,0,66,10,7
110,1,23,0,68,10,6
110,1,23,0,70,10,2
110,1,23,0,72,10,6
110,1,23,0,74,10,3
110,1,23,0,76,10,5
110,1,23,0,110,4,4
110,1,24,0,120,3,44
110,1,24,1,111,4,22
110,1,25,0,63,5,5
110,1,25,0,65,5,6
110,1,25,0,67,5,3
110,1,25,0,69,5,3
110,1,25,0,71,5,8
110,1,25,0,73,5,2
110,1,25,0,75,5,5
110,1,25,0,77,5,1
110,1,25,0,191,5,4
110,1,25,0,195,5,2
110,1,25,0,197,5,2
110,1,25,0,199,5,3
110,1,26,0,65,5,12
110,1,26,0,67,5,3
110,1,26,0,69,5,7
110,1,26,0,71,5,6
110,1,26,0,73,5,2
110,1,26,0,75,5,5
110,1,26,0,77,5,5
110,1,26,0,191,5,9
110,1,26,0,193,5,3
110,1,26,0,195,5,4
110,1,26,0,197,5,4
110,1,26,0,199,5,4
110,1,27,0,63,5,3
110,1,27,0,65,5,8
110,1,27,0,67,5,7
110,1,27,0,69,5,7
110,1,27,0,71,5,6
110,1,27,0,73,5,3
110,1,27,0,77,5,4
110,1,27,0,191,5,7
110,1,27,0,193,5,8
110,1,27,0,195,5,10
110,1,27,0,197,5,2
110,1,27,0,199,5,2
110,1,28,0,63,5,9
110,1,28,0,65,5,3
110,1,28,0,67,5,9
110,1,28,0,71,5,11
110,1,28,0,73,5,3
110,1,28,0,75,5,6
110,1,28,0,77,5,7
110,1,28,0,191,5,2
110,1,28,0,193,5,4
110,1,28,0,195,5,9
110,1,28,0,197,5,2
110,1,28,0,199,5,3
110,1,29,0,143,6,22
110,1,30,0,47,10,8
110,1,30,0,49,10,3
110,1,30,0,51,10,9
110,1,30,0,57,10,10
110,1,30,0,59,10,7
110,1,30,0,61,10,7
110,1,31,0,47,10,12
110,1,31,0,49,10,8
110,1,31,0,51,10,13
110,1,31,0,57,10,9
110,1,31,0,59,10,13
110,1,31,0,61,10,11
110,1,32,0,47,10,16
110,1,32,0,49,10,8
110,1,32,0,51,10,17
110,1,32,0,57,10,17
110,1,32,0,59,10,19
110,1,32,0,61,10,11
110,1,33,0,47,10,9
110,1,33,0,49,10,20
110,1,33,0,51,10,9
110,1,33,0,57,10,23
110,1,33,0,59,10,11
110,1,33,0,61,10,16
110,1,34,0,112,10,22
110,1,34,0,116,10,22
110,1,34,1,114,10,22
110,1,35,0,63,10,5
110,1,35,0,65,10,3
110,1,35,0,67,10,2
110,1,35,0,69,10,7
110,1,35,0,71,10,2
110,1,35,0,73,10,6
110,1,35,0,75,10,3
110,1,35,0,77,10,5
110,1,35,0,191,10,2
110,1,35,0,193,10,1
110,1,35,0,195,10,1
110,1,35,0,197,10,3
110,1,35,0,199,10,4
110,1,36,0,63,10,3
110,1,36,0,65,10,1
110,1,36,0,67,10,2
110,1,36,0,69,10,9
110,1,36,0,71,10,6
110,1,36,0,73,10,3
110,1,36,0,75,10,5
110,1,36,0,77,10,10
110,1,36,0,191,10,4
110,1,36,0,193,10,7
110,1,36,0,195,10,9
110,1,36,0,197,10,4
110,1,36,0,199,10,2
110,1,37,0,63,10,4
110,1,37,0,65,10,2
110,1,37,0,67,10,3
110,1,37,0,69,10,4
110,1,37,0,71,10,2
110,1,37,0,73,10,6
110,1,37,0,75,10,7
110,1,37,0,77,10,11
110,1,37,0,191,10,5
110,1,37,0,193,10,4
110,1,37,0,195,10,1
110,1,37,0,197,10,13
110,1,37,0,199,10,12
110,1,38,0,63,10,5
110,1,38,0,65,10,3
110,1,38,0,67,10,3
110,1,38,0,69,10,11
110,1,38,0,71,10,7
110,1,38,0,73,10,5
110,1,38,0,75,10,5
110,1,38,0,77,10,4
110,1,38,0,191,10,5
110,1,38,0,193,10,11
110,1,38,0,195,10,2
110,1,38,0,197,10,7
110,1,38,0,199,10,6
110,1,39,0,146,7,22
110,1,40,0,98,10,1
110,1,40,0,102,10,2
110,1,40,0,104,10,3
110,1,40,0,108,10,6
110,1,40,0,191,10,9
110,1,40,0,192,10,5
110,1,40,0,193,10,1
110,1,40,0,194,10,5
110,1,40,0,195,10,3
110,1,40,0,196,10,6
110,1,40,0,199,10,3
110,1,41,0,98,10,4
